,elements,counts,charges,total_charge,formula
321,"['Li', 'S', 'O']","[2, 1, 4]","[1, 6, -2]",0,Li2SO4
322,"['Bi', 'Br']","[1, 3]","[3, -1]",0,BiBr3
323,['Ce'],[1],[0],0,Ce
324,"['Sn', 'S']","[1, 1]","[2.0, -2.0]",0,SnS
325,"['La', 'O', 'H']","[1, 2, 1]","[3, -2, 1]",0,LaHO2
326,['Tb'],[1],[0],0,Tb
327,"['O', 'H', 'B']","[5, 2, 1]","[-2.0, 0.0, 0.0]",-10,BH2O5
328,"['La', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,La(NO3)3
329,"['O', 'Al', 'N']","[3, 2, 1]","[-2.0, 0.0, 0.0]",-6,Al2NO3
330,"['As', 'O']","[2, 5]","[5, -2]",0,As2O5
331,"['Ba', 'O', 'N']","[1, 3, 1]","[2.0, -2.0, 0.0]",-4,BaNO3
332,"['In', 'Se']","[1, 1]","[2, -2]",0,InSe
333,"['Mn', 'Br']","[1, 2]","[2, -1]",0,MnBr2
334,"['Fe', 'Cl']","[1, 2]","[2, -1]",0,FeCl2
335,"['Re', 'O']","[1, 2]","[4, -2]",0,ReO2
336,"['Pd', 'O']","[1, 1]","[2, -2]",0,PdO
337,"['Na', 'P', 'O', 'H']","[2, 1, 4, 1]","[1, 5, -2, 1]",0,Na2PHO4
338,"['O', 'Zr', 'N']","[10, 1, 3]","[-2.0, 0.0, 0.0]",-20,ZrN3O10
339,"['La', 'O']","[2, 3]","[3, -2]",0,La2O3
340,"['Zn', 'C', 'O', 'H']","[2, 1, 5, 2]","[2, 4, -2, 1]",0,Zn2H2CO5
341,"['Mg', 'N']","[3, 2]","[2, -3]",0,Mg3N2
342,['Zn'],[1],[0],0,Zn
343,"['Li', 'Br']","[1, 1]","[1, -1]",0,LiBr
344,"['O', 'B']","[5, 2]","[-2.0, 0.0]",-10,B2O5
345,['S'],[1],[0],0,S
346,"['H', 'O', 'N', 'As']","[6, 4, 1, 1]","[1, -2.0, -3.0, 5.0]",0,AsH6NO4
347,"['O', 'Ce']","[4, 1]","[-2.0, 0.0]",-8,CeO4
348,"['Sm', 'S']","[2, 3]","[3, -2]",0,Sm2S3
349,"['Li', 'Cl']","[1, 1]","[1, -1]",0,LiCl
350,"['Bi', 'Br', 'O']","[1, 1, 1]","[3, -1, -2]",0,BiBrO
351,"['Ga', 'O']","[2, 3]","[3, -2]",0,Ga2O3
352,"['O', 'Ni', 'C']","[3, 1, 1]","[-2.0, 2.0, 4.0]",0,NiCO3
353,"['O', 'Fe', 'S']","[4, 1, 1]","[-2.0, 2.0, 6.0]",0,FeSO4
354,"['Ba', 'O', 'C', 'C', 'H']","[1, 4, 2, 2, 6]","[2.0, -2.0, 4.0, -4.0, 1]",0,BaH6(CO)4
355,"['K', 'S']","[2, 1]","[1, -2]",0,K2S
356,"['Li', 'P', 'O']","[3, 1, 4]","[1, 5, -2]",0,Li3PO4
357,"['Mn', 'O']","[1, 1]","[2, -2]",0,MnO
358,"['Li', 'O']","[2, 1]","[1, -2]",0,Li2O
359,"['O', 'Mn', 'H']","[2, 1, 1]","[-2.0, 3.0, 1]",0,MnHO2
360,"['Ni', 'O']","[2, 3]","[3, -2]",0,Ni2O3
361,['Th'],[1],[0],0,Th
362,"['Nb', 'Cl']","[1, 5]","[5, -1]",0,NbCl5
363,"['Nd', 'O']","[2, 3]","[3, -2]",0,Nd2O3
364,['Yb'],[1],[0],0,Yb
365,"['Fe', 'N', 'O']","[1, 2, 6]","[2, 5, -2]",0,Fe(NO3)2
366,"['In', 'Se']","[2, 3]","[3, -2]",0,In2Se3
367,['Y'],[1],[0],0,Y
368,"['Cu', 'C', 'N']","[1, 1, 1]","[1, 2.0, -3.0]",0,CuCN
369,"['Mg', 'S', 'O']","[1, 1, 4]","[2, 6, -2]",0,MgSO4
370,"['Zr', 'C']","[1, 1]","[4.0, -4.0]",0,ZrC
371,"['O', 'Co']","[3, 1]","[-2.0, 0.0]",-6,CoO3
372,"['Mo', 'O']","[1, 2]","[4, -2]",0,MoO2
373,"['Se', 'O', 'H']","[1, 4, 2]","[6, -2, 1]",0,H2SeO4
374,"['Na', 'S']","[2, 1]","[1, -2]",0,Na2S
375,"['O', 'Al', 'H']","[1, 1, 1]","[-2.0, 3.0, -1]",0,AlHO
376,"['O', 'Yb', 'C', 'C', 'C', 'H']","[39, 5, 17, 16, 1, 61]","[-2.0, 3.0, 4.0, -4.0, -2.0, 1]",0,Yb5H61C34O39
377,"['Mg', 'C', 'O', 'H']","[5, 4, 19, 12]","[2, 4, -2, 1]",0,(MgCO3)4.Mg(OH)2.5H2O
378,"['Li', 'S']","[1, 1]","[1, -1]",0,LiS
379,"['Sn', 'Br']","[1, 2]","[2, -1]",0,SnBr2
380,"['P', 'O', 'H']","[1, 4, 3]","[5, -2, 1]",0,PH3O4
381,"['Al', 'S', 'O']","[2, 3, 12]","[3, 6, -2]",0,Al2(SO4)3
382,"['N', 'C', 'H']","[2, 1, 2]","[-3, 4, 1]",0,H2CN2
383,"['Fe', 'P', 'O']","[1, 1, 4]","[3, 5, -2]",0,FePO4
384,"['Li', 'P', 'O']","[4, 2, 7]","[1, 5, -2]",0,Li4P2O7
385,"['Na', 'P', 'O']","[1, 1, 3]","[1, 5, -2]",0,NaPO3
386,"['La', 'C', 'O']","[2, 3, 9]","[3, 4, -2]",0,La2(CO3)3
387,"['Li', 'S']","[2, 1]","[1, -2]",0,Li2S
388,"['Re', 'O']","[2, 7]","[7, -2]",0,Re2O7
389,"['Ni', 'O']","[1, 2]","[4, -2]",0,NiO2
390,['In'],[1],[0],0,In
391,"['H', 'O', 'N', 'P']","[4, 3, 1, 1]","[1, -2.0, -3.0, 5.0]",0,PH4NO3
392,"['O', 'Ti']","[1, 1]","[-2.0, 2.0]",0,TiO
393,['Zr'],[1],[0],0,Zr
394,"['O', 'Ni', 'C', 'C', 'H']","[4, 1, 2, 2, 6]","[-2.0, 2.0, 4.0, -4.0, 1]",0,NiH6(CO)4
395,"['Eu', 'P']","[1, 1]","[3, -3]",0,EuP
396,"['Li', 'N']","[3, 1]","[1, -3]",0,Li3N
397,"['O', 'Dy', 'N', 'N']","[3, 1, 2, 1]","[-2.0, 3.0, 3.0, -3.0]",0,Dy(NO)3
398,"['Mg', 'S']","[1, 1]","[2, -2]",0,MgS
399,"['O', 'Mn', 'C', 'C', 'H']","[4, 1, 2, 2, 6]","[-2.0, 2.0, 4.0, -4.0, 1]",0,MnH6(CO)4
400,"['O', 'C', 'C', 'H', 'Co']","[4, 2, 2, 6, 1]","[-2.0, 4.0, -4.0, 1, 2.0]",0,CoH6(CO)4
401,"['Mo', 'S']","[1, 2]","[4, -2]",0,MoS2
402,"['O', 'Yb']","[5, 2]","[-2.0, 0.0]",-10,Yb2O5
403,"['Bi', 'Cl', 'O']","[1, 1, 1]","[3, -1, -2]",0,BiClO
404,"['Br', 'Sb']","[3, 1]","[-1, 3]",0,SbBr3
405,"['Yb', 'F']","[1, 3]","[3, -1]",0,YbF3
406,"['Tl', 'I']","[1, 1]","[1, -1]",0,TlI
407,['Ge'],[1],[0],0,Ge
408,"['Cm', 'O']","[1, 2]","[0.0, -2.0]",-4,CmO2
409,"['La', 'S', 'O']","[2, 1, 6]","[3, 6, -2]",0,La2SO6
410,"['Sn', 'F']","[1, 4]","[4, -1]",0,SnF4
411,"['Na', 'H']","[1, 1]","[1, -1]",0,NaH
412,"['Gd', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,Gd(NO3)3
413,"['O', 'Ga']","[2, 1]","[-2.0, 0.0]",-4,GaO2
414,"['Sn', 'S']","[1, 2]","[4.0, -2.0]",0,SnS2
415,"['V', 'O']","[1, 2]","[4, -2]",0,VO2
416,['Tl'],[1],[0],0,Tl
417,"['O', 'Co', 'Co']","[4, 2, 1]","[-2.0, 2.0, 4.0]",0,Co3O4
418,"['As', 'S']","[2, 3]","[3.0, -2.0]",0,As2S3
419,"['Li', 'P']","[3, 1]","[1, -3]",0,Li3P
420,"['Eu', 'Br']","[1, 2]","[2, -1]",0,EuBr2
421,"['Fe', 'O']","[1, 1]","[2, -2]",0,FeO
422,"['Ge', 'S']","[1, 2]","[4.0, -2.0]",0,GeS2
423,"['Al', 'O', 'H']","[1, 3, 3]","[3, -2, 1]",0,Al(HO)3
424,"['Zn', 'Cl']","[1, 2]","[2, -1]",0,ZnCl2
425,"['Ca', 'C', 'O']","[1, 1, 3]","[2, 4, -2]",0,CaCO3
426,"['Ir', 'O']","[1, 2]","[4, -2]",0,IrO2
427,"['O', 'Ta', 'N']","[1, 1, 1]","[-2.0, 5.0, -3.0]",0,TaNO
428,"['Zn', 'I']","[1, 2]","[2, -1]",0,ZnI2
429,"['Bi', 'I']","[1, 3]","[3, -1]",0,BiI3
430,"['Cu', 'Br']","[1, 2]","[2, -1]",0,CuBr2
431,['I'],[1],[0],0,I
432,"['Sm', 'O', 'H']","[1, 3, 3]","[3, -2, 1]",0,Sm(HO)3
433,"['Ce', 'N', 'O', 'H']","[1, 8, 18, 8]","[4, 3, -2, 1]",0,CeH8(N4O9)2
434,"['K', 'N', 'O']","[1, 1, 3]","[1, 5, -2]",0,KNO3
435,"['Ca', 'S', 'O']","[1, 1, 4]","[2, 6, -2]",0,CaSO4
436,"['Li', 'P', 'O', 'H']","[1, 1, 4, 2]","[1, 5, -2, 1]",0,LiP(HO2)2
437,"['Fe', 'C', 'O']","[1, 3, 6]","[3, 3, -2]",0,Fe(CO2)3
438,"['Ba', 'Se']","[1, 1]","[2, -2]",0,BaSe
439,"['Mg', 'O']","[1, 2]","[2.0, -2.0]",-2,MgO2
440,"['Ag', 'P', 'O']","[1, 1, 3]","[1, 5, -2]",0,AgPO3
441,"['Ge', 'O']","[2, 3]","[3, -2]",0,Ge2O3
442,"['Yb', 'O', 'H']","[1, 3, 3]","[3, -2, 1]",0,Yb(HO)3
443,"['Ce', 'F']","[1, 3]","[3, -1]",0,CeF3
444,"['O', 'Pb', 'C', 'C', 'H']","[4, 1, 2, 2, 6]","[-2.0, 2.0, 4.0, -4.0, 1]",0,H6Pb(CO)4
445,"['H', 'C', 'C', 'N', 'S']","[5, 1, 1, 1, 1]","[1, 4.0, -4.0, -3.0, -2.0]",0,H5C2SN
446,"['P', 'O']","[2, 5]","[5, -2]",0,P2O5
447,"['O', 'Gd', 'N', 'N']","[3, 1, 2, 1]","[-2.0, 3.0, 3.0, -3.0]",0,Gd(NO)3
448,"['O', 'B', 'H']","[7, 2, 2]","[-2.0, 0.0, 0.0]",-14,B2H2O7
449,"['Eu', 'S']","[1, 1]","[2, -2]",0,EuS
450,"['Ag', 'N', 'O']","[1, 1, 3]","[1, 5, -2]",0,AgNO3
451,"['Ca', 'N']","[3, 2]","[2, -3]",0,Ca3N2
452,"['P', 'N', 'O', 'H']","[1, 2, 4, 9]","[5, -3, -2, 1]",0,PH9(NO2)2
453,"['Cd', 'Br']","[1, 2]","[2, -1]",0,CdBr2
454,['Sm'],[1],[0],0,Sm
455,"['Ca', 'O', 'P']","[2, 4, 1]","[2.0, -2.0, 4.0]",0,Ca2PO4
456,"['O', 'Zr']","[3, 1]","[-2.0, 0.0]",-6,ZrO3
457,"['Zn', 'O']","[1, 1]","[2, -2]",0,ZnO
458,"['H', 'O', 'Co', 'C', 'C']","[4, 2, 1, 1, 1]","[1, -2.0, 2.0, 2.0, -4.0]",0,CoH4(CO)2
459,"['O', 'Fe']","[2, 1]","[-2.0, 0.0]",-4,FeO2
460,"['Ba', 'F']","[1, 2]","[2, -1]",0,BaF2
461,"['Ta', 'N']","[3, 5]","[5, -3]",0,Ta3N5
462,"['O', 'Pb', 'C']","[3, 1, 1]","[-2.0, 2.0, 4.0]",0,PbCO3
463,"['K', 'Se']","[2, 1]","[1, -2]",0,K2Se
464,"['Mg', 'O', 'N', 'H']","[1, 15, 3, 12]","[2.0, -2.0, 0.0, 0.0]",-28,Mg(NO3)3.6H2O
465,"['O', 'Al', 'H']","[2, 1, 2]","[-2.0, 0.0, 0.0]",-4,Al(HO)2
466,"['O', 'Co', 'C', 'C', 'H']","[8, 1, 2, 2, 14]","[-2.0, 2.0, 4.0, -4.0, 1]",0,Co(CH3COO)2.4H2O
467,"['Ti', 'C']","[1, 1]","[4, -4]",0,TiC
468,"['W', 'P', 'O', 'H']","[12, 1, 40, 3]","[6, 5, -2, 1]",0,PH3(W3O10)4
469,"['Zr', 'C', 'O', 'H']","[1, 20, 8, 32]","[4, -1, -2, 1]",0,ZrH32(C5O2)4
470,"['Na', 'O']","[2, 1]","[1, -2]",0,Na2O
471,"['Ni', 'N', 'O']","[1, 2, 6]","[2, 5, -2]",0,Ni(NO3)2
472,"['Zr', 'N']","[1, 1]","[3, -3]",0,ZrN
473,"['As', 'O']","[2, 3]","[3, -2]",0,As2O3
474,"['Hg', 'I']","[1, 2]","[2, -1]",0,HgI2
475,"['Zr', 'N', 'O']","[1, 4, 12]","[4, 5, -2]",0,Zr(NO3)4
476,"['Ga', 'Se']","[2, 3]","[3, -2]",0,Ga2Se3
477,"['Cu', 'I']","[1, 1]","[1, -1]",0,CuI
478,"['P', 'S']","[2, 3]","[3.0, -2.0]",0,P2S3
479,"['Mg', 'C', 'O', 'H']","[5, 4, 14, 2]","[2, 4, -2, 1]",0,Mg5H2(C2O7)2
480,['Ti'],[1],[0],0,Ti
481,"['O', 'Co']","[2386907802506363/562949953421312, 3]","[-2.0, 0.0]",-8.48,Co3O4.24
482,"['Ni', 'O', 'H']","[1, 2, 2]","[2, -2, 1]",0,Ni(HO)2
483,"['Y', 'C', 'O', 'H']","[1, 9, 3, 21]","[3, -2, -2, 1]",0,YH21(C3O)3
484,['La'],[1],[0],0,La
485,"['Pt', 'O']","[1, 2]","[4, -2]",0,PtO2
486,"['Co', 'Cl']","[1, 2]","[2, -1]",0,CoCl2
487,['Tm'],[1],[0],0,Tm
488,"['Co', 'O']","[1, 1]","[2, -2]",0,CoO
489,"['Mn', 'O']","[1, 2]","[4, -2]",0,MnO2
490,"['Si', 'O']","[1, 2]","[4, -2]",0,SiO2
491,"['Ag', 'I']","[1, 1]","[1, -1]",0,AgI
492,"['Ti', 'C', 'O', 'H']","[1, 4, 4, 12]","[4, -2, -2, 1]",0,TiH12(CO)4
493,['Co'],[1],[0],0,Co
494,"['Sr', 'N', 'O']","[1, 2, 6]","[2, 5, -2]",0,Sr(NO3)2
495,['Be'],[1],[0],0,Be
496,"['Co', 'C', 'C', 'O', 'H']","[1, 1, 1, 3, 3]","[2.0, 4.0, -3.0, -2.0, 1]",0,CoH3C2O3
497,"['O', 'Ni', 'C']","[3, 2, 1]","[-2.0, 2.0, 2.0]",0,Ni2CO3
498,"['Er', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,Er(NO3)3
499,"['Ce', 'Br']","[1, 3]","[3, -1]",0,CeBr3
500,"['Bi', 'S']","[2, 3]","[3, -2]",0,Bi2S3
501,"['Zn', 'S']","[1, 1]","[2, -2]",0,ZnS
502,['Te'],[1],[0],0,Te
503,"['Mn', 'Cl']","[1, 2]","[2, -1]",0,MnCl2
504,"['Mg', 'F']","[1, 2]","[2, -1]",0,MgF2
505,"['Sr', 'C', 'O']","[1, 2, 4]","[2, 3, -2]",0,Sr(CO2)2
506,"['Ti', 'O', 'H']","[1, 4, 4]","[4, -2, 1]",0,Ti(HO)4
507,"['Nd', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,Nd(NO3)3
508,"['Ba', 'Br']","[1, 2]","[2, -1]",0,BaBr2
509,"['Pb', 'Cl', 'O']","[3, 2, 2]","[2, -1, -2]",0,Pb3(ClO)2
510,"['K', 'C', 'O']","[1, 1, 2]","[1, 3, -2]",0,KCO2
511,"['Ba', 'Cl']","[1, 2]","[2, -1]",0,BaCl2
512,"['B', 'O']","[2, 3]","[3, -2]",0,B2O3
513,"['Co', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,Co(NO3)3
514,"['Nd', 'P']","[1, 1]","[3, -3]",0,NdP
515,"['Co', 'O', 'H']","[1, 2, 2]","[2, -2, 1]",0,Co(HO)2
516,"['Fe', 'P', 'O', 'H']","[1, 1, 6, 4]","[3, 5, -2, 1]",0,FeP(H2O3)2
517,['Os'],[1],[0],0,Os
518,"['Ba', 'O']","[2, 3]","[2.0, -2.0]",-2,Ba2O3
519,"['Ba', 'C', 'O']","[2, 1, 3]","[2, 2, -2]",0,Ba2CO3
520,"['Cu', 'O']","[1, 2]","[4, -2]",0,CuO2
521,"['K', 'O']","[2, 1]","[1, -2]",0,K2O
522,"['V', 'N', 'O', 'H']","[1, 2, 3, 8]","[4, -3, -2, 1]",0,VH8N2O3
523,"['O', 'Mn', 'P']","[4, 1, 1]","[-2.0, 3.0, 5.0]",0,MnPO4
524,"['Si', 'S']","[1, 2]","[4.0, -2.0]",0,SiS2
525,"['O', 'Co', 'P']","[7, 2, 2]","[-2.0, 2.0, 5.0]",0,Co2P2O7
526,"['H', 'O', 'W', 'N']","[13, 20, 6, 3]","[1, -2.0, 6.0, -3.0]",0,H13W6N3O20
527,"['S', 'P']","[3, 4]","[4, -3]",0,P4S3
528,"['Bi', 'F']","[1, 3]","[3, -1]",0,BiF3
529,"['Ag', 'Cl']","[1, 1]","[1, -1]",0,AgCl
530,"['O', 'Ni', 'N']","[3, 1, 1]","[-2.0, 3.0, 3.0]",0,NiNO3
531,['Pb'],[1],[0],0,Pb
532,"['Si', 'N']","[3, 4]","[4.0, -3.0]",0,Si3N4
533,"['Al', 'N']","[1, 1]","[3, -3]",0,AlN
534,['Ag'],[1],[0],0,Ag
535,"['Zn', 'N', 'O']","[1, 2, 6]","[2, 5, -2]",0,Zn(NO3)2
536,"['Al', 'N', 'O']","[1, 3.9, 11.7]","[3, 5, -2]",,Al(NO3)3.9
537,"['Zn', 'F']","[1, 2]","[2, -1]",0,ZnF2
538,"['K', 'O', 'H']","[50, 50, 1]","[1, -2.0, 0.0]",-50,K50HO50
539,"['O', 'Tb']","[4, 3]","[-2.0, 0.0]",-8,Tb3O4
540,"['O', 'Tl', 'N']","[3, 1, 1]","[-2.0, 1, 5.0]",0,TlNO3
541,['Sn'],[1],[0],0,Sn
542,"['Ni', 'Ni', 'Se']","[2, 4, 5]","[1, 2.0, -2.0]",0,Ni6Se5
543,"['Bi', 'N', 'N']","[1, 2, 4]","[2.0, 5.0, -3.0]",0,BiN6
544,"['Co', 'Br']","[1, 2]","[2, -1]",0,CoBr2
545,"['Mg', 'C', 'O', 'H']","[2, 1, 5, 2]","[2, 4, -2, 1]",0,Mg2H2CO5
546,"['O', 'Bi', 'Bi']","[21, 4, 6]","[-2.0, 3.0, 5.0]",0,Bi10O21
547,"['O', 'Zn']","[2, 1]","[-2.0, 0.0]",-4,ZnO2
548,"['Ga', 'F']","[1, 3]","[3, -1]",0,GaF3
549,"['Mg', 'N', 'O']","[1, 2, 6]","[2, 5, -2]",0,Mg(NO3)2
550,['Cu'],[1],[0],0,Cu
551,"['Mg', 'O', 'H']","[1, 2, 2]","[2, -2, 1]",0,Mg(HO)2
552,"['Pb', 'Cl']","[1, 2]","[2, -1]",0,PbCl2
553,"['Nb', 'O']","[1, 2]","[4, -2]",0,NbO2
554,"['La', 'F']","[1, 3]","[3, -1]",0,LaF3
555,"['O', 'Mn', 'C', 'C']","[4, 1, 1, 1]","[-2.0, 2.0, 2.0, 4.0]",0,Mn(CO2)2
556,['Mn'],[1],[0],0,Mn
557,"['O', 'Co', 'S']","[4, 1, 1]","[-2.0, 2.0, 6.0]",0,CoSO4
558,"['O', 'Pb', 'N']","[3, 1, 1]","[-2.0, 0.0, 0.0]",-6,PbNO3
559,['Ir'],[1],[0],0,Ir
560,"['Na', 'C', 'O']","[1, 1, 2]","[1, 3, -2]",0,NaCO2
561,['Bi'],[1],[0],0,Bi
562,"['H', 'O', 'C', 'C', 'Ni']","[3, 2, 1, 1, 1]","[1, -2.0, 4.0, -4.0, 1]",0,NiH3(CO)2
563,['Ga'],[1],[0],0,Ga
564,"['Fe', 'O']","[2, 3]","[3, -2]",0,Fe2O3
565,"['K', 'P', 'O']","[4, 2, 7]","[1, 5, -2]",0,K4P2O7
566,"['Ho', 'O']","[2, 3]","[3, -2]",0,Ho2O3
567,['Pd'],[1],[0],0,Pd
568,"['O', 'Al', 'H', 'C', 'C']","[5, 1, 7, 2, 2]","[-2.0, 3.0, 1, 4.0, -4.0]",0,AlH7C4O5
569,"['Sr', 'S', 'O']","[1, 1, 4]","[2, 6, -2]",0,SrSO4
570,"['In', 'Br']","[1, 3]","[3, -1]",0,InBr3
571,"['Li', 'O', 'H', 'S', 'N']","[1, 3, 2, 1, 1]","[1, -2.0, 1, -2.0, 5.0]",0,LiH2SNO3
572,"['Ba', 'P', 'O']","[3, 2, 8]","[2, 5, -2]",0,Ba3(PO4)2
573,"['Cu', 'Cl']","[1, 1]","[1, -1]",0,CuCl
574,"['O', 'Al', 'N']","[6, 1, 2]","[-2.0, 0.0, 0.0]",-12,Al(NO3)2
575,"['Sr', 'Cl']","[1, 2]","[2, -1]",0,SrCl2
576,"['In', 'Cl']","[1, 3]","[3, -1]",0,InCl3
577,"['La', 'P', 'O']","[1, 1, 4]","[3, 5, -2]",0,LaPO4
578,['Ba'],[1],[0],0,Ba
579,"['Pb', 'O']","[1, 2]","[4, -2]",0,PbO2
580,['Pu'],[1],[0],0,Pu
581,"['Br', 'N', 'H']","[1, 1, 4]","[-1, -3, 1]",0,H4BrN
582,"['Zr', 'O', 'H']","[1, 4, 4]","[4, -2, 1]",0,Zr(HO)4
583,['Eu'],[1],[0],0,Eu
584,"['Cs', 'N', 'O']","[1, 1, 3]","[1, 5, -2]",0,CsNO3
585,"['O', 'Ti', 'Ti']","[3, 1, 1]","[-2.0, 2.0, 4.0]",0,Ti2O3
586,"['Nb', 'F']","[1, 5]","[5, -1]",0,NbF5
587,"['C', 'O', 'H']","[1, 1, 4]","[-2, -2, 1]",0,H4CO
588,"['Yb', 'O']","[2, 3]","[3, -2]",0,Yb2O3
589,"['La', 'C', 'O']","[2, 1, 3]","[2, 2, -2]",0,La2CO3
590,"['Dy', 'O']","[2, 3]","[3, -2]",0,Dy2O3
591,['Ca'],[1],[0],0,Ca
592,"['N', 'H', 'F']","[1, 4, 1]","[-3, 1, -1]",0,H4NF
593,"['Ag', 'Se']","[2, 1]","[1, -2]",0,Ag2Se
594,"['Si', 'Si', 'N', 'N']","[1, 3, 2, 1]","[-4.0, 4.0, -3.0, -2.0]",0,Si4N3
595,"['Lu', 'O']","[2, 3]","[3, -2]",0,Lu2O3
596,"['Ce', 'P', 'O']","[1, 1, 4]","[3, 5, -2]",0,CePO4
597,"['Pb', 'I']","[1, 2]","[2, -1]",0,PbI2
598,"['Cs', 'Cl']","[1, 1]","[1, -1]",0,CsCl
599,"['C', 'O', 'H']","[2, 1, 6]","[-2, -2, 1]",0,H6C2O
600,"['K', 'Br']","[1, 1]","[1, -1]",0,KBr
601,"['Co', 'O', 'H']","[1, 2, 1]","[3, -2, 1]",0,CoHO2
602,"['Pu', 'O']","[1, 2]","[4, -2]",0,PuO2
603,"['Ni', 'Ni', 'S']","[2, 4, 5]","[1, 2.0, -2.0]",0,Ni6S5
604,"['Cr', 'S']","[2, 3]","[3, -2]",0,Cr2S3
605,['W'],[1],[0],0,W
606,"['Na', 'F']","[1, 1]","[1, -1]",0,NaF
607,"['Ca', 'C', 'O']","[2, 1, 3]","[2, 2, -2]",0,Ca2CO3
608,"['Na', 'N', 'H']","[1, 1, 2]","[1, -3, 1]",0,NaH2N
609,"['Ce', 'O']","[2, 3]","[3, -2]",0,Ce2O3
610,['Rh'],[1],[0],0,Rh
611,['Br'],[1],[0],0,Br
612,"['La', 'S']","[2, 3]","[3, -2]",0,La2S3
613,"['H', 'O', 'N', 'V']","[4, 3, 1, 1]","[1, -2.0, -3.0, 5.0]",0,VH4NO3
614,"['W', 'O', 'H']","[1, 4, 2]","[6, -2, 1]",0,H2WO4
615,"['K', 'C', 'O']","[2, 1, 3]","[1, 4, -2]",0,K2CO3
616,['V'],[1],[0],0,V
617,"['Ba', 'O', 'N']","[1, 9, 3]","[2.0, -2.0, 0.0]",-16,Ba(NO3)3
618,"['Ga', 'S']","[2, 3]","[3, -2]",0,Ga2S3
619,"['Cr', 'N', 'O', 'H']","[1, 2, 4, 8]","[6, -3, -2, 1]",0,CrH8(NO2)2
620,"['O', 'Mn', 'S']","[4, 1, 1]","[-2.0, 2.0, 6.0]",0,MnSO4
621,"['V', 'N', 'O', 'H']","[1, 1, 4, 4]","[5.0, -1, -2.0, 1]",0,VH4NO4
622,"['Mg', 'I']","[1, 2]","[2, -1]",0,MgI2
623,"['O', 'Cr', 'P']","[4, 1, 1]","[-2.0, 3.0, 5.0]",0,CrPO4
624,"['N', 'H', 'H', 'Y']","[1, 2, 2, 1]","[-3.0, 1, -1, 3.0]",0,YH4N
625,"['Rb', 'Cl']","[1, 1]","[1, -1]",0,RbCl
626,['Er'],[1],[0],0,Er
627,"['O', 'Ti', 'C']","[2, 1, 1]","[-2.0, 2.0, 2.0]",0,TiCO2
628,"['K', 'Cl']","[1, 1]","[1, -1]",0,KCl
629,"['Mg', 'O', 'N']","[1, 3, 1]","[2.0, -2.0, 0.0]",-4,MgNO3
630,"['O', 'P']","[4, 1]","[-2.0, 0.0]",-8,PO4
631,"['Ni', 'C', 'C', 'O', 'H']","[1, 1, 1, 3, 3]","[2.0, 4.0, -3.0, -2.0, 1]",0,NiH3C2O3
632,['Ru'],[1],[0],0,Ru
633,"['Na', 'O']","[2, 2]","[1, -2.0]",-2,Na2O2
634,"['V', 'O']","[2, 3]","[3, -2]",0,V2O3
635,['Nd'],[1],[0],0,Nd
636,"['Y', 'Cl']","[1, 3]","[3, -1]",0,YCl3
637,"['Mn', 'N']","[2, 1]","[0.0, 0.0]",0,Mn2N
638,"['Co', 'O']","[2, 3]","[3, -2]",0,Co2O3
639,"['Mg', 'P', 'O']","[3, 2, 8]","[2, 5, -2]",0,Mg3(PO4)2
640,"['Na', 'P', 'O']","[3, 1, 4]","[1, 5, -2]",0,Na3PO4
641,"['Bi', 'O']","[2, 3]","[3, -2]",0,Bi2O3
642,"['O', 'Eu']","[2, 3]","[-2.0, 0.0]",-4,Eu3O2
643,"['Gd', 'F']","[1, 3]","[3, -1]",0,GdF3
644,"['Ge', 'Se']","[1, 2]","[4.0, -2.0]",0,GeSe2
645,"['O', 'Ni', 'C', 'C']","[4, 1, 1, 1]","[-2.0, 2.0, 2.0, 4.0]",0,Ni(CO2)2
646,"['Pb', 'O']","[1, 1]","[2, -2]",0,PbO
647,"['Sb', 'O']","[2, 5]","[5, -2]",0,Sb2O5
648,"['Sr', 'O', 'C']","[1, 6, 2]","[2.0, -2.0, 0.0]",-10,Sr(CO3)2
649,"['O', 'Zn', 'C', 'C', 'H']","[6, 1, 2, 2, 10]","[-2.0, 2.0, 4.0, -4.0, 1]",0,Zn(CH3CO2)2.2H2O
650,['Si'],[1],[0],0,Si
651,"['P', 'N', 'O', 'H']","[1, 3, 4, 12]","[5, -3, -2, 1]",0,PH12N3O4
652,"['Na', 'C', 'O']","[2, 1, 3]","[1, 4, -2]",0,Na2CO3
653,"['Fe', 'S']","[1, 1]","[2, -2]",0,FeS
654,"['Ni', 'Cl']","[1, 2]","[2, -1]",0,NiCl2
655,"['H', 'O', 'Si', 'C', 'C']","[20, 4, 1, 2, 6]","[1, -2.0, 4.0, 4.0, -4.0]",0,SiH20(C2O)4
656,"['Pb', 'C', 'O', 'H']","[1, 1, 4, 1]","[4, 3, -2, 1]",0,HPbCO4
657,"['Te', 'O', 'H']","[1, 4, 2]","[6, -2, 1]",0,Te(HO2)2
